2024-02-28 18:15:18,183:WARNING:
CPU Usage: 4.5%, 
Total Memory: 7.70 GB, 
Available Memory: 6.45 GB, 
Used Memory: 1.02 GB, 
Memory Usage: 16.2%, 
Total Disk Space: 1006.85 GB, 
Used Disk Space: 2.80 GB, 
Free Disk Space: 952.84 GB, 
Disk Space Usage: 0.3%

2024-02-28 18:16:35,407:WARNING:
CPU Usage: 0.0%, 
Total Memory: 7.70 GB, 
Available Memory: 6.45 GB, 
Used Memory: 1.02 GB, 
Memory Usage: 16.2%, 
Total Disk Space: 1006.85 GB, 
Used Disk Space: 2.80 GB, 
Free Disk Space: 952.84 GB, 
Disk Space Usage: 0.3%

2024-02-28 18:17:10,485:WARNING:
CPU Usage: 0.1%, 
Total Memory: 7.70 GB, 
Available Memory: 6.44 GB, 
Used Memory: 1.03 GB, 
Memory Usage: 16.4%, 
Total Disk Space: 1006.85 GB, 
Used Disk Space: 2.80 GB, 
Free Disk Space: 952.84 GB, 
Disk Space Usage: 0.3%

